replica,profile,respondent_id,persona,theta,output,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,theta_hat,profile_hat,theta_imposed,profile_imp,profile_target,persona_target
1,novice,2f748c3c-e647-4fa2-a309-7321606f6816,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']",-0.5551174083084653,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""3"", ""4"": ""2"", ""5"": ""2"",
""6"": ""3"", ""7"": ""2"", ""8"": ""2"", ""9"": ""2"", ""10"": ""3"",
""11"": ""3"", ""12"": ""1"", ""13"": ""2"", ""14"": ""2"", ""15"": ""1"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""2"",
""21"": ""2"", ""22"": ""1""
}",2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,-0.5981445227192271,novice,-0.5551174083084653,novice,novice,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']"
1,novice,f8fa58fc-b513-4a86-a838-a4ce400ea40d,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']",-0.1491098692042643,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""3"", ""4"": ""2"", ""5"": ""3"",
""6"": ""3"", ""7"": ""2"", ""8"": ""2"", ""9"": ""2"", ""10"": ""3"",
""11"": ""3"", ""12"": ""2"", ""13"": ""2"", ""14"": ""3"", ""15"": ""2"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""3"",
""21"": ""2"", ""22"": ""2""
}",2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,-0.14672689895439975,intermediate,-0.1491098692042643,intermediate,intermediate,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']"
1,novice,255a234a-b54a-4123-8ad3-1740f184eab4,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']",-2.284526996440109,"{
""1"": ""1"", ""2"": ""1"", ""3"": ""2"", ""4"": ""1"", ""5"": ""1"", ""6"": ""1"", ""7"": ""1"", ""8"": ""1"", ""9"": ""1"", ""10"": ""1"",
""11"": ""1"", ""12"": ""1"", ""13"": ""1"", ""14"": ""1"", ""15"": ""1"", ""16"": ""2"", ""17"": ""1"", ""18"": ""1"", ""19"": ""1"", ""20"": ""1"",
""21"": ""1"", ""22"": ""1""
}",1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.2817245632740724,novice,-2.284526996440109,novice,novice,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']"
1,novice,12c9979a-dbff-4234-92a8-f419d5559ff7,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']",-2.845659408433336,"{
""1"": ""1"", ""2"": ""1"", ""3"": ""1"", ""4"": ""1"", ""5"": ""1"", ""6"": ""1"", ""7"": ""1"", ""8"": ""1"", ""9"": ""1"", ""10"": ""1"",
""11"": ""1"", ""12"": ""1"", ""13"": ""1"", ""14"": ""1"", ""15"": ""1"", ""16"": ""1"", ""17"": ""1"", ""18"": ""1"", ""19"": ""1"", ""20"": ""1"",
""21"": ""1"", ""22"": ""1""
}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.9999965620694273,novice,-2.845659408433336,novice,novice,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']"
1,novice,1c678e39-ac4b-48ef-b578-98f96f2794ed,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']",-0.4711709884760449,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""3"", ""4"": ""2"", ""5"": ""3"",
""6"": ""2"", ""7"": ""2"", ""8"": ""2"", ""9"": ""2"", ""10"": ""3"",
""11"": ""2"", ""12"": ""2"", ""13"": ""2"", ""14"": ""3"", ""15"": ""1"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""1"",
""21"": ""2"", ""22"": ""1""
}",2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,-0.5249700075614994,novice,-0.4711709884760449,novice,novice,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']"
1,novice,4e3b7c05-f7d6-4927-a6d8-2b342e94b788,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']",-1.213984333423682,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""2"", ""4"": ""2"", ""5"": ""2"",
""6"": ""2"", ""7"": ""1"", ""8"": ""2"", ""9"": ""1"", ""10"": ""2"",
""11"": ""2"", ""12"": ""1"", ""13"": ""2"", ""14"": ""2"", ""15"": ""1"",
""16"": ""2"", ""17"": ""2"", ""18"": ""1"", ""19"": ""2"", ""20"": ""2"",
""21"": ""1"", ""22"": ""1""
}",2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,-1.1471985842944155,novice,-1.213984333423682,novice,novice,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']"
1,novice,945ebcad-53a2-4a58-8c50-89de01316cc7,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']",-0.5066612609959656,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""3"", ""4"": ""2"", ""5"": ""3"",
""6"": ""2"", ""7"": ""2"", ""8"": ""3"", ""9"": ""2"", ""10"": ""3"",
""11"": ""2"", ""12"": ""2"", ""13"": ""1"", ""14"": ""2"", ""15"": ""1"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""2"",
""21"": ""2"", ""22"": ""1""
}",2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,-0.5553882747304872,novice,-0.5066612609959656,novice,novice,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']"
1,novice,9cfba2c5-1f13-4fe7-b20d-c7b43b17e4eb,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']",-1.3571320072916424,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""2"", ""4"": ""2"", ""5"": ""2"", ""6"": ""2"", ""7"": ""1"", ""8"": ""2"", ""9"": ""1"", ""10"": ""2"",
""11"": ""2"", ""12"": ""1"", ""13"": ""1"", ""14"": ""2"", ""15"": ""1"", ""16"": ""2"", ""17"": ""2"", ""18"": ""1"", ""19"": ""1"",
""20"": ""2"", ""21"": ""1"", ""22"": ""1""
}",2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.4046234413195133,novice,-1.3571320072916424,novice,novice,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']"
1,novice,c8c002a5-04f2-474b-83b4-d45071fc2650,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']",-1.213984333423682,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""2"", ""4"": ""2"", ""5"": ""2"", ""6"": ""2"", ""7"": ""1"", ""8"": ""2"", ""9"": ""1"", ""10"": ""2"",
""11"": ""2"", ""12"": ""1"", ""13"": ""2"", ""14"": ""2"", ""15"": ""1"", ""16"": ""2"", ""17"": ""2"", ""18"": ""1"", ""19"": ""2"", ""20"": ""2"",
""21"": ""1"", ""22"": ""1""
}",2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,-1.1471985842944155,novice,-1.213984333423682,novice,novice,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']"
1,novice,34d6edad-2eb1-42cc-81a3-7e51aa7bcfc8,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']",1.355461267092063,"{
""1"": ""3"", ""2"": ""4"", ""3"": ""4"", ""4"": ""3"", ""5"": ""3"", ""6"": ""3"", ""7"": ""3"", ""8"": ""4"", ""9"": ""3"", ""10"": ""4"", ""11"": ""3"", ""12"": ""3"", ""13"": ""3"", ""14"": ""4"", ""15"": ""2"", ""16"": ""4"", ""17"": ""4"", ""18"": ""3"", ""19"": ""3"", ""20"": ""3"", ""21"": ""4"", ""22"": ""2""
}",3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,1.3535632248358167,advanced,1.355461267092063,advanced,advanced,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']"
1,novice,04a6dd96-19b2-4347-b3b6-27141f876031,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']",-0.7872241687860729,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""3"", ""4"": ""2"", ""5"": ""2"",
""6"": ""2"", ""7"": ""1"", ""8"": ""2"", ""9"": ""1"", ""10"": ""2"",
""11"": ""2"", ""12"": ""1"", ""13"": ""2"", ""14"": ""2"", ""15"": ""1"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""2"",
""21"": ""2"", ""22"": ""1""
}",2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,-0.7812251687656572,novice,-0.7872241687860729,novice,novice,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']"
1,novice,8b005be7-b84e-4b60-8114-fe8f56413620,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']",-0.514638313581522,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""3"", ""4"": ""2"", ""5"": ""3"",
""6"": ""2"", ""7"": ""2"", ""8"": ""2"", ""9"": ""2"", ""10"": ""3"",
""11"": ""3"", ""12"": ""2"", ""13"": ""1"", ""14"": ""2"", ""15"": ""1"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""2"",
""21"": ""2"", ""22"": ""1""
}",2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,-0.5627137789089525,novice,-0.514638313581522,novice,novice,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']"
1,novice,c438dd30-899e-4321-a861-d0df6c01fedd,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']",-1.747320797939972,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""2"", ""4"": ""1"", ""5"": ""1"", ""6"": ""1"", ""7"": ""2"", ""8"": ""1"", ""9"": ""1"", ""10"": ""2"", ""11"": ""2"", ""12"": ""1"", ""13"": ""1"", ""14"": ""1"", ""15"": ""1"", ""16"": ""2"", ""17"": ""2"", ""18"": ""1"", ""19"": ""1"", ""20"": ""1"", ""21"": ""1"", ""22"": ""1""
}",2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.77817038961317,novice,-1.747320797939972,novice,novice,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']"
1,novice,2b9015f3-c727-4ede-8d65-8541ccd64d18,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']",-0.7824520909110854,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""2"", ""4"": ""2"", ""5"": ""2"", ""6"": ""2"", ""7"": ""2"", ""8"": ""2"", ""9"": ""2"", ""10"": ""2"",
""11"": ""2"", ""12"": ""2"", ""13"": ""2"", ""14"": ""2"", ""15"": ""2"", ""16"": ""2"", ""17"": ""2"", ""18"": ""2"", ""19"": ""2"", ""20"": ""2"",
""21"": ""2"", ""22"": ""2""
}",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7773414321078994,novice,-0.7824520909110854,novice,novice,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']"
1,novice,5985ac0f-ea9f-4bc1-b292-3df093294fdc,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']",-0.0477141187712646,"{
""1"": ""2"", ""2"": ""3"", ""3"": ""3"", ""4"": ""2"", ""5"": ""3"",
""6"": ""2"", ""7"": ""2"", ""8"": ""3"", ""9"": ""2"", ""10"": ""3"",
""11"": ""3"", ""12"": ""2"", ""13"": ""2"", ""14"": ""3"", ""15"": ""2"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""2"",
""21"": ""2"", ""22"": ""2""
}",2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,-0.032489199832385546,intermediate,-0.0477141187712646,intermediate,intermediate,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']"
1,novice,87a895e1-e975-40ad-9612-c6ec72ae4c6d,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']",-1.6617146659794393,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""2"", ""4"": ""1"", ""5"": ""2"", ""6"": ""2"", ""7"": ""1"", ""8"": ""2"", ""9"": ""1"", ""10"": ""2"",
""11"": ""2"", ""12"": ""1"", ""13"": ""1"", ""14"": ""1"", ""15"": ""1"", ""16"": ""2"", ""17"": ""2"", ""18"": ""1"", ""19"": ""1"", ""20"": ""1"",
""21"": ""1"", ""22"": ""1""
}",2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.707601741680668,novice,-1.6617146659794393,novice,novice,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']"
